Activity,Year,Locality,Frequency,Percentage
Go to bars/night clubs ,2012,Remote,Monthly Participation (once),2.50
Go to bars/night clubs ,2013,Remote,Participated in the last 12 months,16.05
Go to bars/night clubs ,2013,Remote,Weekly Participation (multiple),1.11
Go to bars/night clubs ,2013,Remote,Weekly Participation (once),1.47
Go to bars/night clubs ,2013,Remote,Monthly Participation (multiple),2.72
Go to bars/night clubs ,2013,Remote,Monthly Participation (once),2.39
Go to bars/night clubs ,2014,Remote,Participated in the last 12 months,17.10
Go to bars/night clubs ,2014,Remote,Weekly Participation (multiple),1.18
Go to bars/night clubs ,2014,Remote,Weekly Participation (once),1.60
Go to bars/night clubs ,2014,Remote,Monthly Participation (multiple),2.74
Go to bars/night clubs ,2014,Remote,Monthly Participation (once),2.90
Go to bars/night clubs ,2015,Remote,Participated in the last 12 months,16.54
Go to bars/night clubs ,2015,Remote,Weekly Participation (multiple),1.10
Go to bars/night clubs ,2015,Remote,Weekly Participation (once),1.72
Go to bars/night clubs ,2015,Remote,Monthly Participation (multiple),2.38
Go to bars/night clubs ,2015,Remote,Monthly Participation (once),3.03
Go to bars/night clubs ,2016,Remote,Participated in the last 12 months,17.67
Go to bars/night clubs ,2016,Remote,Weekly Participation (multiple),1.19
Go to bars/night clubs ,2016,Remote,Weekly Participation (once),1.67
Go to bars/night clubs ,2016,Remote,Monthly Participation (multiple),2.71
Go to bars/night clubs ,2016,Remote,Monthly Participation (once),2.75
Go to bars/night clubs ,2017,Remote,Participated in the last 12 months,17.21
Go to bars/night clubs ,2017,Remote,Weekly Participation (multiple),1.10
Go to bars/night clubs ,2017,Remote,Weekly Participation (once),1.72
Go to bars/night clubs ,2017,Remote,Monthly Participation (multiple),2.74
Go to bars/night clubs ,2017,Remote,Monthly Participation (once),2.68
Go to bars/night clubs ,2018,Remote,Participated in the last 12 months,16.63
Go to bars/night clubs ,2018,Remote,Weekly Participation (multiple),0.93
Go to bars/night clubs ,2018,Remote,Weekly Participation (once),1.40
Go to bars/night clubs ,2018,Remote,Monthly Participation (multiple),2.68
Go to bars/night clubs ,2018,Remote,Monthly Participation (once),2.53
Go to beach ,2010,Remote,Participated in the last 12 months,25.72
Go to beach ,2010,Remote,Weekly Participation (multiple),1.45
Go to beach ,2010,Remote,Weekly Participation (once),0.88
Go to beach ,2010,Remote,Monthly Participation (multiple),2.14
Go to beach ,2010,Remote,Monthly Participation (once),2.38
Go to beach ,2011,Remote,Participated in the last 12 months,24.34
Go to beach ,2011,Remote,Weekly Participation (multiple),1.23
Go to beach ,2011,Remote,Weekly Participation (once),0.80
Go to beach ,2011,Remote,Monthly Participation (multiple),2.11
Go to beach ,2011,Remote,Monthly Participation (once),2.01
Go to beach ,2012,Remote,Participated in the last 12 months,23.75
Go to beach ,2012,Remote,Weekly Participation (multiple),1.11
Go to beach ,2012,Remote,Weekly Participation (once),0.86
Go to beach ,2012,Remote,Monthly Participation (multiple),2.06
Go to beach ,2012,Remote,Monthly Participation (once),2.08
Go to beach ,2013,Remote,Participated in the last 12 months,24.72
Go to beach ,2013,Remote,Weekly Participation (multiple),1.26
Go to beach ,2013,Remote,Weekly Participation (once),1.08
Go to beach ,2013,Remote,Monthly Participation (multiple),1.99
Go to beach ,2013,Remote,Monthly Participation (once),2.28
Go to beach ,2014,Remote,Participated in the last 12 months,25.82
Go to beach ,2014,Remote,Weekly Participation (multiple),1.01
Go to beach ,2014,Remote,Weekly Participation (once),0.94
Go to beach ,2014,Remote,Monthly Participation (multiple),2.35
Go to beach ,2014,Remote,Monthly Participation (once),2.58
Go to beach ,2015,Remote,Participated in the last 12 months,25.76
Go to beach ,2015,Remote,Weekly Participation (multiple),1.11
Go to beach ,2015,Remote,Weekly Participation (once),0.90
Go to beach ,2015,Remote,Monthly Participation (multiple),1.93
Go to beach ,2015,Remote,Monthly Participation (once),2.47
Go to beach ,2016,Remote,Participated in the last 12 months,28.94
Go to beach ,2016,Remote,Weekly Participation (multiple),1.11
Go to beach ,2016,Remote,Weekly Participation (once),0.96
Go to beach ,2016,Remote,Monthly Participation (multiple),2.16
Go to beach ,2016,Remote,Monthly Participation (once),2.83
Go to beach ,2017,Remote,Participated in the last 12 months,29.61
Go to beach ,2017,Remote,Weekly Participation (multiple),1.16
Go to beach ,2017,Remote,Weekly Participation (once),0.99
Go to beach ,2017,Remote,Monthly Participation (multiple),2.23
Go to beach ,2017,Remote,Monthly Participation (once),2.50
Go to beach ,2018,Remote,Participated in the last 12 months,27.80
Go to beach ,2018,Remote,Weekly Participation (multiple),1.21
Go to beach ,2018,Remote,Weekly Participation (once),1.02
Go to beach ,2018,Remote,Monthly Participation (multiple),1.95
Go to beach ,2018,Remote,Monthly Participation (once),2.60
Go to live theater ,2010,Remote,Participated in the last 12 months,13.39
Go to live theater ,2010,Remote,Weekly Participation (multiple),0.15
Go to live theater ,2010,Remote,Weekly Participation (once),0.11
Go to live theater ,2010,Remote,Monthly Participation (multiple),0.39
Go to live theater ,2010,Remote,Monthly Participation (once),1.46
Go to live theater ,2011,Remote,Participated in the last 12 months,12.19
Go to live theater ,2011,Remote,Weekly Participation (multiple),0.12
Go to live theater ,2011,Remote,Weekly Participation (once),0.15
Go to live theater ,2011,Remote,Monthly Participation (multiple),0.40
Go to live theater ,2011,Remote,Monthly Participation (once),1.22
Go to live theater ,2012,Remote,Participated in the last 12 months,11.60
Go to live theater ,2012,Remote,Weekly Participation (multiple),0.07
Go to live theater ,2012,Remote,Weekly Participation (once),0.10
Go to live theater ,2012,Remote,Monthly Participation (multiple),0.55
Go to live theater ,2012,Remote,Monthly Participation (once),1.22
Go to live theater ,2013,Remote,Participated in the last 12 months,12.91
Go to live theater ,2013,Remote,Weekly Participation (multiple),0.10
Go to live theater ,2013,Remote,Weekly Participation (once),0.16
Go to live theater ,2013,Remote,Monthly Participation (multiple),0.47
Go to live theater ,2013,Remote,Monthly Participation (once),1.30
Go to live theater ,2014,Remote,Participated in the last 12 months,13.02
Go to live theater ,2014,Remote,Weekly Participation (multiple),0.17
Go to live theater ,2014,Remote,Weekly Participation (once),0.24
Go to live theater ,2014,Remote,Monthly Participation (multiple),0.63
Go to live theater ,2014,Remote,Monthly Participation (once),1.46
Go to live theater ,2015,Remote,Participated in the last 12 months,13.35
Go to live theater ,2015,Remote,Weekly Participation (multiple),0.15
Go to live theater ,2015,Remote,Weekly Participation (once),0.16
Go to live theater ,2015,Remote,Monthly Participation (multiple),0.50
Go to live theater ,2015,Remote,Monthly Participation (once),1.55
Go to live theater ,2016,Remote,Participated in the last 12 months,10.67
Go to live theater ,2016,Remote,Weekly Participation (multiple),0.09
Go to live theater ,2016,Remote,Weekly Participation (once),0.07
Go to live theater ,2016,Remote,Monthly Participation (multiple),0.35
Go to live theater ,2016,Remote,Monthly Participation (once),0.97
Go to live theater ,2017,Remote,Participated in the last 12 months,11.11
Go to live theater ,2017,Remote,Weekly Participation (multiple),0.18
Go to live theater ,2017,Remote,Weekly Participation (once),0.14
Go to live theater ,2017,Remote,Monthly Participation (multiple),0.36
Go to live theater ,2017,Remote,Monthly Participation (once),1.41
Go to live theater ,2018,Remote,Participated in the last 12 months,11.33
Go to live theater ,2018,Remote,Weekly Participation (multiple),0.11
Go to live theater ,2018,Remote,Weekly Participation (once),0.20
Go to live theater ,2018,Remote,Monthly Participation (multiple),0.49
Go to live theater ,2018,Remote,Monthly Participation (once),1.18
Go to museums ,2010,Remote,Participated in the last 12 months,14.45
Go to museums ,2010,Remote,Weekly Participation (multiple),0.05
Go to museums ,2010,Remote,Weekly Participation (once),0.09
Go to museums ,2010,Remote,Monthly Participation (multiple),0.51
Go to museums ,2010,Remote,Monthly Participation (once),1.45
Go to museums ,2011,Remote,Participated in the last 12 months,14.04
Go to museums ,2011,Remote,Weekly Participation (multiple),0.09
Go to museums ,2011,Remote,Weekly Participation (once),0.09
Go to museums ,2011,Remote,Monthly Participation (multiple),0.41
Go to museums ,2011,Remote,Monthly Participation (once),1.27
Go to museums ,2012,Remote,Participated in the last 12 months,12.78
Go to museums ,2012,Remote,Weekly Participation (multiple),0.11
Go to museums ,2012,Remote,Weekly Participation (once),0.10
Go to museums ,2012,Remote,Monthly Participation (multiple),0.40
Go to museums ,2012,Remote,Monthly Participation (once),1.23
Go to museums ,2013,Remote,Participated in the last 12 months,12.13
Go to museums ,2013,Remote,Weekly Participation (multiple),0.11
Go to museums ,2013,Remote,Weekly Participation (once),0.09
Go to museums ,2013,Remote,Monthly Participation (multiple),0.34
Go to museums ,2013,Remote,Monthly Participation (once),1.13
Go to museums ,2014,Remote,Participated in the last 12 months,12.22
Go to museums ,2014,Remote,Weekly Participation (multiple),0.04
Go to museums ,2014,Remote,Weekly Participation (once),0.15
Go to museums ,2014,Remote,Monthly Participation (multiple),0.35
Go to museums ,2014,Remote,Monthly Participation (once),1.06
Go to museums ,2015,Remote,Participated in the last 12 months,12.86
Go to museums ,2015,Remote,Weekly Participation (multiple),0.09
Go to museums ,2015,Remote,Weekly Participation (once),0.15
Go to museums ,2015,Remote,Monthly Participation (multiple),0.34
Go to museums ,2015,Remote,Monthly Participation (once),1.38
Go to museums ,2016,Remote,Participated in the last 12 months,12.38
Go to museums ,2016,Remote,Weekly Participation (multiple),0.11
Go to museums ,2016,Remote,Weekly Participation (once),0.11
Go to museums ,2016,Remote,Monthly Participation (multiple),0.41
Go to museums ,2016,Remote,Monthly Participation (once),1.27
Go to museums ,2017,Remote,Participated in the last 12 months,13.81
Go to museums ,2017,Remote,Weekly Participation (multiple),0.08
Go to museums ,2017,Remote,Weekly Participation (once),0.21
Go to museums ,2017,Remote,Monthly Participation (multiple),0.44
Go to museums ,2017,Remote,Monthly Participation (once),1.40
Go to museums ,2018,Remote,Participated in the last 12 months,14.44
Go to museums ,2018,Remote,Weekly Participation (multiple),0.16
Go to museums ,2018,Remote,Weekly Participation (once),0.22
Go to museums ,2018,Remote,Monthly Participation (multiple),0.48
Go to museums ,2018,Remote,Monthly Participation (once),1.57
Home decoration and furnishing,2010,Local,Participated in the last 12 months,9.99
Home decoration and furnishing,2010,Local,Weekly Participation (multiple),0.39
Home decoration and furnishing,2010,Local,Weekly Participation (once),0.43
Home decoration and furnishing,2010,Local,Monthly Participation (multiple),0.82
Home decoration and furnishing,2010,Local,Monthly Participation (once),1.83
Home decoration and furnishing,2011,Local,Participated in the last 12 months,8.93
Home decoration and furnishing,2011,Local,Weekly Participation (multiple),0.48
Home decoration and furnishing,2011,Local,Weekly Participation (once),0.28
Home decoration and furnishing,2011,Local,Monthly Participation (multiple),0.97
Home decoration and furnishing,2011,Local,Monthly Participation (once),1.27
Home decoration and furnishing,2012,Local,Participated in the last 12 months,8.72
Home decoration and furnishing,2012,Local,Weekly Participation (multiple),0.33
Home decoration and furnishing,2012,Local,Weekly Participation (once),0.51
Home decoration and furnishing,2012,Local,Monthly Participation (multiple),0.71
Home decoration and furnishing,2012,Local,Monthly Participation (once),1.16
Home decoration and furnishing,2013,Local,Participated in the last 12 months,9.10
Home decoration and furnishing,2013,Local,Weekly Participation (multiple),0.31
Home decoration and furnishing,2013,Local,Weekly Participation (once),0.41
Home decoration and furnishing,2013,Local,Monthly Participation (multiple),0.87
Home decoration and furnishing,2013,Local,Monthly Participation (once),1.59
Home decoration and furnishing,2014,Local,Participated in the last 12 months,9.24
Home decoration and furnishing,2014,Local,Weekly Participation (multiple),0.49
Home decoration and furnishing,2014,Local,Weekly Participation (once),0.39
Home decoration and furnishing,2014,Local,Monthly Participation (multiple),0.85
Home decoration and furnishing,2014,Local,Monthly Participation (once),1.67
Home decoration and furnishing,2015,Local,Participated in the last 12 months,9.57
Home decoration and furnishing,2015,Local,Weekly Participation (multiple),0.55
Home decoration and furnishing,2015,Local,Weekly Participation (once),0.48
Home decoration and furnishing,2015,Local,Monthly Participation (multiple),0.94
Home decoration and furnishing,2015,Local,Monthly Participation (once),1.52
Home decoration and furnishing,2016,Local,Participated in the last 12 months,10.22
Home decoration and furnishing,2016,Local,Weekly Participation (multiple),0.55
Home decoration and furnishing,2016,Local,Weekly Participation (once),0.43
Home decoration and furnishing,2016,Local,Monthly Participation (multiple),1.06
Home decoration and furnishing,2016,Local,Monthly Participation (once),1.48
Home decoration and furnishing,2017,Local,Participated in the last 12 months,10.48
Home decoration and furnishing,2017,Local,Weekly Participation (multiple),0.41
Home decoration and furnishing,2017,Local,Weekly Participation (once),0.40
Home decoration and furnishing,2017,Local,Monthly Participation (multiple),0.96
Home decoration and furnishing,2017,Local,Monthly Participation (once),1.71
Home decoration and furnishing,2018,Local,Participated in the last 12 months,9.52
Home decoration and furnishing,2018,Local,Weekly Participation (multiple),0.57
Home decoration and furnishing,2018,Local,Weekly Participation (once),0.45
Home decoration and furnishing,2018,Local,Monthly Participation (multiple),0.87
Home decoration and furnishing,2018,Local,Monthly Participation (once),1.71
Karaoke,2010,Remote,Participated in the last 12 months,3.59
Karaoke,2010,Remote,Weekly Participation (multiple),0.20
Karaoke,2010,Remote,Weekly Participation (once),0.18
Karaoke,2010,Remote,Monthly Participation (multiple),0.29
Karaoke,2010,Remote,Monthly Participation (once),0.40
Karaoke,2011,Remote,Participated in the last 12 months,3.77
Karaoke,2011,Remote,Weekly Participation (multiple),0.08
Karaoke,2011,Remote,Weekly Participation (once),0.16
Karaoke,2011,Remote,Monthly Participation (multiple),0.30
Karaoke,2011,Remote,Monthly Participation (once),0.55
Karaoke,2012,Remote,Participated in the last 12 months,3.17
Karaoke,2012,Remote,Weekly Participation (multiple),0.08
Karaoke,2012,Remote,Weekly Participation (once),0.14
Karaoke,2012,Remote,Monthly Participation (multiple),0.32
Karaoke,2012,Remote,Monthly Participation (once),0.32
Karaoke,2013,Remote,Participated in the last 12 months,3.57
Karaoke,2013,Remote,Weekly Participation (multiple),0.18
Karaoke,2013,Remote,Weekly Participation (once),0.12
Karaoke,2013,Remote,Monthly Participation (multiple),0.20
Karaoke,2013,Remote,Monthly Participation (once),0.35
Karaoke,2014,Remote,Participated in the last 12 months,3.34
Karaoke,2014,Remote,Weekly Participation (multiple),0.18
Karaoke,2014,Remote,Weekly Participation (once),0.13
Karaoke,2014,Remote,Monthly Participation (multiple),0.20
Karaoke,2014,Remote,Monthly Participation (once),0.36
Karaoke,2015,Remote,Participated in the last 12 months,3.79
Karaoke,2015,Remote,Weekly Participation (multiple),0.11
Karaoke,2015,Remote,Weekly Participation (once),0.19
Karaoke,2015,Remote,Monthly Participation (multiple),0.26
Karaoke,2015,Remote,Monthly Participation (once),0.26
Karaoke,2016,Remote,Participated in the last 12 months,3.94
Karaoke,2016,Remote,Weekly Participation (multiple),0.08
Karaoke,2016,Remote,Weekly Participation (once),0.11
Karaoke,2016,Remote,Monthly Participation (multiple),0.19
Karaoke,2016,Remote,Monthly Participation (once),0.46
Karaoke,2017,Remote,Participated in the last 12 months,3.50
Karaoke,2017,Remote,Weekly Participation (multiple),0.15
Karaoke,2017,Remote,Weekly Participation (once),0.19
Karaoke,2017,Remote,Monthly Participation (multiple),0.21
Karaoke,2017,Remote,Monthly Participation (once),0.18
Karaoke,2018,Remote,Participated in the last 12 months,3.78
Karaoke,2018,Remote,Weekly Participation (multiple),0.18
Karaoke,2018,Remote,Weekly Participation (once),0.28
Karaoke,2018,Remote,Monthly Participation (multiple),0.25
Karaoke,2018,Remote,Monthly Participation (once),0.22
"Painting, drawing ",2010,Local,Participated in the last 12 months,6.05
"Painting, drawing ",2010,Local,Weekly Participation (multiple),1.03
"Painting, drawing ",2010,Local,Weekly Participation (once),0.56
"Painting, drawing ",2010,Local,Monthly Participation (multiple),0.71
"Painting, drawing ",2010,Local,Monthly Participation (once),0.71
"Painting, drawing ",2011,Local,Participated in the last 12 months,6.20
"Painting, drawing ",2011,Local,Weekly Participation (multiple),0.98
"Painting, drawing ",2011,Local,Weekly Participation (once),0.45
"Painting, drawing ",2011,Local,Monthly Participation (multiple),0.75
"Painting, drawing ",2011,Local,Monthly Participation (once),0.71
"Painting, drawing ",2012,Local,Participated in the last 12 months,5.25
"Painting, drawing ",2012,Local,Weekly Participation (multiple),0.85
"Painting, drawing ",2012,Local,Weekly Participation (once),0.49
"Painting, drawing ",2012,Local,Monthly Participation (multiple),0.64
"Painting, drawing ",2012,Local,Monthly Participation (once),0.61
"Painting, drawing ",2013,Local,Participated in the last 12 months,6.43
"Painting, drawing ",2013,Local,Weekly Participation (multiple),1.17
"Painting, drawing ",2013,Local,Weekly Participation (once),0.63
"Painting, drawing ",2013,Local,Monthly Participation (multiple),0.77
"Painting, drawing ",2013,Local,Monthly Participation (once),0.82
"Painting, drawing ",2014,Local,Participated in the last 12 months,6.02
"Painting, drawing ",2014,Local,Weekly Participation (multiple),1.06
"Painting, drawing ",2014,Local,Weekly Participation (once),0.66
"Painting, drawing ",2014,Local,Monthly Participation (multiple),0.64
"Painting, drawing ",2014,Local,Monthly Participation (once),0.50
"Painting, drawing ",2015,Local,Participated in the last 12 months,6.86
"Painting, drawing ",2015,Local,Weekly Participation (multiple),1.17
"Painting, drawing ",2015,Local,Weekly Participation (once),0.68
"Painting, drawing ",2015,Local,Monthly Participation (multiple),0.71
"Painting, drawing ",2015,Local,Monthly Participation (once),0.89
"Painting, drawing ",2016,Local,Participated in the last 12 months,7.23
"Painting, drawing ",2016,Local,Weekly Participation (multiple),1.47
"Painting, drawing ",2016,Local,Weekly Participation (once),0.71
"Painting, drawing ",2016,Local,Monthly Participation (multiple),0.92
"Painting, drawing ",2016,Local,Monthly Participation (once),0.68
"Painting, drawing ",2017,Local,Participated in the last 12 months,7.84
"Painting, drawing ",2017,Local,Weekly Participation (multiple),1.45
"Painting, drawing ",2017,Local,Weekly Participation (once),0.67
"Painting, drawing ",2017,Local,Monthly Participation (multiple),0.76
"Painting, drawing ",2017,Local,Monthly Participation (once),0.98
"Painting, drawing ",2018,Local,Participated in the last 12 months,7.00
"Painting, drawing ",2018,Local,Weekly Participation (multiple),1.16
"Painting, drawing ",2018,Local,Weekly Participation (once),0.77
"Painting, drawing ",2018,Local,Monthly Participation (multiple),0.64
"Painting, drawing ",2018,Local,Monthly Participation (once),0.89
PC/computer games (play offline with software),2010,Local,Participated in the last 12 months,8.32
PC/computer games (play offline with software),2010,Local,Weekly Participation (multiple),3.84
PC/computer games (play offline with software),2010,Local,Weekly Participation (once),1.02
PC/computer games (play offline with software),2010,Local,Monthly Participation (multiple),0.89
PC/computer games (play offline with software),2010,Local,Monthly Participation (once),0.57
PC/computer games (play offline with software),2011,Local,Participated in the last 12 months,7.79
PC/computer games (play offline with software),2011,Local,Weekly Participation (multiple),3.67
PC/computer games (play offline with software),2011,Local,Weekly Participation (once),0.78
PC/computer games (play offline with software),2011,Local,Monthly Participation (multiple),0.70
PC/computer games (play offline with software),2011,Local,Monthly Participation (once),0.51
PC/computer games (play offline with software),2012,Local,Participated in the last 12 months,6.77
PC/computer games (play offline with software),2012,Local,Weekly Participation (multiple),3.18
PC/computer games (play offline with software),2012,Local,Weekly Participation (once),0.52
PC/computer games (play offline with software),2012,Local,Monthly Participation (multiple),0.69
PC/computer games (play offline with software),2012,Local,Monthly Participation (once),0.43
PC/computer games (play offline with software),2013,Local,Participated in the last 12 months,6.66
PC/computer games (play offline with software),2013,Local,Weekly Participation (multiple),3.19
PC/computer games (play offline with software),2013,Local,Weekly Participation (once),0.71
PC/computer games (play offline with software),2013,Local,Monthly Participation (multiple),0.58
PC/computer games (play offline with software),2013,Local,Monthly Participation (once),0.37
PC/computer games (play offline with software),2014,Local,Participated in the last 12 months,6.58
PC/computer games (play offline with software),2014,Local,Weekly Participation (multiple),3.12
PC/computer games (play offline with software),2014,Local,Weekly Participation (once),0.69
PC/computer games (play offline with software),2014,Local,Monthly Participation (multiple),0.58
PC/computer games (play offline with software),2014,Local,Monthly Participation (once),0.25
PC/computer games (play offline with software),2015,Local,Participated in the last 12 months,5.98
PC/computer games (play offline with software),2015,Local,Weekly Participation (multiple),2.96
PC/computer games (play offline with software),2015,Local,Weekly Participation (once),0.68
PC/computer games (play offline with software),2015,Local,Monthly Participation (multiple),0.43
PC/computer games (play offline with software),2015,Local,Monthly Participation (once),0.28
PC/computer games (play offline with software),2016,Local,Participated in the last 12 months,6.81
PC/computer games (play offline with software),2016,Local,Weekly Participation (multiple),3.35
PC/computer games (play offline with software),2016,Local,Weekly Participation (once),0.49
PC/computer games (play offline with software),2016,Local,Monthly Participation (multiple),0.65
PC/computer games (play offline with software),2016,Local,Monthly Participation (once),0.37
PC/computer games (play offline with software),2017,Local,Participated in the last 12 months,6.97
PC/computer games (play offline with software),2017,Local,Weekly Participation (multiple),3.31
PC/computer games (play offline with software),2017,Local,Weekly Participation (once),0.54
PC/computer games (play offline with software),2017,Local,Monthly Participation (multiple),0.58
PC/computer games (play offline with software),2017,Local,Monthly Participation (once),0.29
PC/computer games (play offline with software),2018,Local,Participated in the last 12 months,6.93
PC/computer games (play offline with software),2018,Local,Weekly Participation (multiple),3.68
PC/computer games (play offline with software),2018,Local,Weekly Participation (once),0.51
PC/computer games (play offline with software),2018,Local,Monthly Participation (multiple),0.41
PC/computer games (play offline with software),2018,Local,Monthly Participation (once),0.25
PC/computer games (play online with software),2010,Local,Participated in the last 12 months,7.26
PC/computer games (play online with software),2010,Local,Weekly Participation (multiple),3.24
PC/computer games (play online with software),2010,Local,Weekly Participation (once),0.89
PC/computer games (play online with software),2010,Local,Monthly Participation (multiple),0.59
PC/computer games (play online with software),2010,Local,Monthly Participation (once),0.36
PC/computer games (play online with software),2011,Local,Participated in the last 12 months,7.06
PC/computer games (play online with software),2011,Local,Weekly Participation (multiple),3.51
PC/computer games (play online with software),2011,Local,Weekly Participation (once),0.62
PC/computer games (play online with software),2011,Local,Monthly Participation (multiple),0.58
PC/computer games (play online with software),2011,Local,Monthly Participation (once),0.23
PC/computer games (play online with software),2012,Local,Participated in the last 12 months,6.76
PC/computer games (play online with software),2012,Local,Weekly Participation (multiple),3.14
PC/computer games (play online with software),2012,Local,Weekly Participation (once),0.60
PC/computer games (play online with software),2012,Local,Monthly Participation (multiple),0.45
PC/computer games (play online with software),2012,Local,Monthly Participation (once),0.24
PC/computer games (play online with software),2013,Local,Participated in the last 12 months,6.86
PC/computer games (play online with software),2013,Local,Weekly Participation (multiple),3.49
PC/computer games (play online with software),2013,Local,Weekly Participation (once),0.54
PC/computer games (play online with software),2013,Local,Monthly Participation (multiple),0.44
PC/computer games (play online with software),2013,Local,Monthly Participation (once),0.35
PC/computer games (play online with software),2014,Local,Participated in the last 12 months,7.30
PC/computer games (play online with software),2014,Local,Weekly Participation (multiple),3.72
PC/computer games (play online with software),2014,Local,Weekly Participation (once),0.61
PC/computer games (play online with software),2014,Local,Monthly Participation (multiple),0.42
PC/computer games (play online with software),2014,Local,Monthly Participation (once),0.26
PC/computer games (play online with software),2015,Local,Participated in the last 12 months,7.33
PC/computer games (play online with software),2015,Local,Weekly Participation (multiple),3.86
PC/computer games (play online with software),2015,Local,Weekly Participation (once),0.81
PC/computer games (play online with software),2015,Local,Monthly Participation (multiple),0.39
PC/computer games (play online with software),2015,Local,Monthly Participation (once),0.23
PC/computer games (play online with software),2016,Local,Participated in the last 12 months,
PC/computer games (play online with software),2016,Local,Weekly Participation (multiple),
PC/computer games (play online with software),2016,Local,Weekly Participation (once),
PC/computer games (play online with software),2016,Local,Monthly Participation (multiple),
PC/computer games (play online with software),2016,Local,Monthly Participation (once),
PC/computer games (play online with software),2017,Local,Participated in the last 12 months,
PC/computer games (play online with software),2017,Local,Weekly Participation (multiple),
PC/computer games (play online with software),2017,Local,Weekly Participation (once),
PC/computer games (play online with software),2017,Local,Monthly Participation (multiple),
PC/computer games (play online with software),2017,Local,Monthly Participation (once),
PC/computer games (play online with software),2018,Local,Participated in the last 12 months,
PC/computer games (play online with software),2018,Local,Weekly Participation (multiple),
PC/computer games (play online with software),2018,Local,Weekly Participation (once),
PC/computer games (play online with software),2018,Local,Monthly Participation (multiple),
PC/computer games (play online with software),2018,Local,Monthly Participation (once),
PC/computer games (play online without software),2010,Local,Participated in the last 12 months,10.72
PC/computer games (play online without software),2010,Local,Weekly Participation (multiple),5.65
PC/computer games (play online without software),2010,Local,Weekly Participation (once),1.21
PC/computer games (play online without software),2010,Local,Monthly Participation (multiple),0.94
PC/computer games (play online without software),2010,Local,Monthly Participation (once),0.51
PC/computer games (play online without software),2011,Local,Participated in the last 12 months,10.10
PC/computer games (play online without software),2011,Local,Weekly Participation (multiple),5.32
PC/computer games (play online without software),2011,Local,Weekly Participation (once),1.04
PC/computer games (play online without software),2011,Local,Monthly Participation (multiple),0.83
PC/computer games (play online without software),2011,Local,Monthly Participation (once),0.43
PC/computer games (play online without software),2012,Local,Participated in the last 12 months,8.95
PC/computer games (play online without software),2012,Local,Weekly Participation (multiple),4.82
PC/computer games (play online without software),2012,Local,Weekly Participation (once),1.00
PC/computer games (play online without software),2012,Local,Monthly Participation (multiple),0.57
PC/computer games (play online without software),2012,Local,Monthly Participation (once),0.33
PC/computer games (play online without software),2013,Local,Participated in the last 12 months,9.11
PC/computer games (play online without software),2013,Local,Weekly Participation (multiple),5.11
PC/computer games (play online without software),2013,Local,Weekly Participation (once),0.88
PC/computer games (play online without software),2013,Local,Monthly Participation (multiple),0.66
PC/computer games (play online without software),2013,Local,Monthly Participation (once),0.24
PC/computer games (play online without software),2014,Local,Participated in the last 12 months,9.46
PC/computer games (play online without software),2014,Local,Weekly Participation (multiple),5.45
PC/computer games (play online without software),2014,Local,Weekly Participation (once),0.78
PC/computer games (play online without software),2014,Local,Monthly Participation (multiple),0.60
PC/computer games (play online without software),2014,Local,Monthly Participation (once),0.23
PC/computer games (play online without software),2015,Local,Participated in the last 12 months,8.59
PC/computer games (play online without software),2015,Local,Weekly Participation (multiple),5.13
PC/computer games (play online without software),2015,Local,Weekly Participation (once),0.63
PC/computer games (play online without software),2015,Local,Monthly Participation (multiple),0.50
PC/computer games (play online without software),2015,Local,Monthly Participation (once),0.28
PC/computer games (play online without software),2016,Local,Participated in the last 12 months,
PC/computer games (play online without software),2016,Local,Weekly Participation (multiple),
PC/computer games (play online without software),2016,Local,Weekly Participation (once),
PC/computer games (play online without software),2016,Local,Monthly Participation (multiple),
PC/computer games (play online without software),2016,Local,Monthly Participation (once),
PC/computer games (play online without software),2017,Local,Participated in the last 12 months,
PC/computer games (play online without software),2017,Local,Weekly Participation (multiple),
PC/computer games (play online without software),2017,Local,Weekly Participation (once),
PC/computer games (play online without software),2017,Local,Monthly Participation (multiple),
PC/computer games (play online without software),2017,Local,Monthly Participation (once),
PC/computer games (play online without software),2018,Local,Participated in the last 12 months,
PC/computer games (play online without software),2018,Local,Weekly Participation (multiple),
PC/computer games (play online without software),2018,Local,Weekly Participation (once),
PC/computer games (play online without software),2018,Local,Monthly Participation (multiple),
PC/computer games (play online without software),2018,Local,Monthly Participation (once),
PC/computer games (play online),2010,Local,Participated in the last 12 months,
PC/computer games (play online),2010,Local,Weekly Participation (multiple),
PC/computer games (play online),2010,Local,Weekly Participation (once),
PC/computer games (play online),2010,Local,Monthly Participation (multiple),
PC/computer games (play online),2010,Local,Monthly Participation (once),
PC/computer games (play online),2011,Local,Participated in the last 12 months,
PC/computer games (play online),2011,Local,Weekly Participation (multiple),
PC/computer games (play online),2011,Local,Weekly Participation (once),
PC/computer games (play online),2011,Local,Monthly Participation (multiple),
PC/computer games (play online),2011,Local,Monthly Participation (once),
PC/computer games (play online),2012,Local,Participated in the last 12 months,
PC/computer games (play online),2012,Local,Weekly Participation (multiple),
PC/computer games (play online),2012,Local,Weekly Participation (once),
PC/computer games (play online),2012,Local,Monthly Participation (multiple),
PC/computer games (play online),2012,Local,Monthly Participation (once),
PC/computer games (play online),2013,Local,Participated in the last 12 months,
