Activity,Year,Locality,Frequency,Percentage
Attend art galleries or shows,2013,Remote,Participated in the last 12 months,7.47
Attend art galleries or shows,2013,Remote,Weekly Participation (multiple),0.05
Attend art galleries or shows,2013,Remote,Weekly Participation (once),0.00
Attend art galleries or shows,2013,Remote,Monthly Participation (multiple),0.30
Attend art galleries or shows,2013,Remote,Monthly Participation (once),0.61
Attend art galleries or shows,2014,Remote,Participated in the last 12 months,6.99
Attend art galleries or shows,2014,Remote,Weekly Participation (multiple),0.06
Attend art galleries or shows,2014,Remote,Weekly Participation (once),0.06
Attend art galleries or shows,2014,Remote,Monthly Participation (multiple),0.33
Attend art galleries or shows,2014,Remote,Monthly Participation (once),0.68
Attend art galleries or shows,2015,Remote,Participated in the last 12 months,7.50
Attend art galleries or shows,2015,Remote,Weekly Participation (multiple),0.04
Attend art galleries or shows,2015,Remote,Weekly Participation (once),0.07
Attend art galleries or shows,2015,Remote,Monthly Participation (multiple),0.26
Attend art galleries or shows,2015,Remote,Monthly Participation (once),0.76
Attend art galleries or shows,2016,Remote,Participated in the last 12 months,7.80
Attend art galleries or shows,2016,Remote,Weekly Participation (multiple),0.09
Attend art galleries or shows,2016,Remote,Weekly Participation (once),0.07
Attend art galleries or shows,2016,Remote,Monthly Participation (multiple),0.39
Attend art galleries or shows,2016,Remote,Monthly Participation (once),0.81
Attend art galleries or shows,2017,Remote,Participated in the last 12 months,7.63
Attend art galleries or shows,2017,Remote,Weekly Participation (multiple),0.09
Attend art galleries or shows,2017,Remote,Weekly Participation (once),0.07
Attend art galleries or shows,2017,Remote,Monthly Participation (multiple),0.42
Attend art galleries or shows,2017,Remote,Monthly Participation (once),0.70
Attend art galleries or shows,2018,Remote,Participated in the last 12 months,7.17
Attend art galleries or shows,2018,Remote,Weekly Participation (multiple),0.04
Attend art galleries or shows,2018,Remote,Weekly Participation (once),0.08
Attend art galleries or shows,2018,Remote,Monthly Participation (multiple),0.22
Attend art galleries or shows,2018,Remote,Monthly Participation (once),0.87
Attend auto shows ,2010,Remote,Participated in the last 12 months,8.48
Attend auto shows ,2010,Remote,Weekly Participation (multiple),0.14
Attend auto shows ,2010,Remote,Weekly Participation (once),0.15
Attend auto shows ,2010,Remote,Monthly Participation (multiple),0.24
Attend auto shows ,2010,Remote,Monthly Participation (once),0.32
